VDR Name,Account,Date,Memo,Document Number/ID,Transaction,Type,Total Amount (Transaction Currency)
VDR-0106 Orion Labs,
,Accrued Purchases,11/25/2020,PO 112320CYTO,4176895,Bill #4176895,VendBill,-2549.08,
,Accrued Purchases,10/23/2020,PO 100720MOL - received from RD on 11/01/2020,1824355,Bill #1824355,VendBill,-361.73,
,Accrued Purchases,11/19/2020,PO 102720CYTO,3710883,Bill #3710883,VendBill,-278.74,
,Accrued Purchases,11/17/2020,110920Covid19,IR-0836,Item Receipt #IR-0836,ItemRcpt,-1587.6,
,Accrued Purchases,11/16/2020,PO 111620APMOL,3289311,Bill #3289311,VendBill,-196.41,
,Accrued Purchases,11/17/2020,PO 111620APMOL,3438492,Bill #3438492,VendBill,-226.63,
,Accrued Purchases,11/11/2020,PO 092320FLOW - received from RD on 11/17/2020,2919722,Bill #2919722,VendBill,-1102.5,
,Accrued Purchases,10/27/2020,PO 102720FLOW,2040986,Bill #2040986,VendBill,-953.71,
,Accrued Purchases,11/6/2020,PO 092320AP - received from RD on 11/17/2020,2727148,Bill #2727148,VendBill,-340.4,
,Accrued Purchases,10/31/2020,100720MOL as per RAJ,IR-0788,Item Receipt #IR-0788,ItemRcpt,-316,
,Accrued Purchases,11/2/2020,082620CYTO,IR-0776,Item Receipt #IR-0776,ItemRcpt,-302.79,
,Accrued Purchases,11/2/2020,PO 082620CYTO,2493489,Bill #2493489,VendBill,-322.85,
,Accrued Purchases,11/3/2020,PO 102720CYTO,2550475,Bill #2550475,VendBill,-1144.38,
,Accrued Purchases,10/28/2020,102720FLOW,IR-0731,Item Receipt #IR-0731,ItemRcpt,-891.5,
,Accrued Purchases,10/28/2020,PO 102720FLOW - received from RD on 11/04/2020,2154622,Bill #2154622,VendBill,-501.67,
,Accrued Purchases,10/23/2020,PO 101920AP - received from RD on 11/01/2020,1824356,Bill #1824356,VendBill,-234.25,
,Accrued Purchases,11/18/2020,PO 111820FLOW,3579596,Bill #3579596,VendBill,-441.38,
,Accrued Purchases,11/8/2020,111620APMOL,IR-0822,Item Receipt #IR-0822,ItemRcpt,-172.55,
,Accrued Purchases,11/12/2020,PO 110920COVID19 - received from RD on 11/25/2020,3007448,Bill #3007448,VendBill,-1812.34,
,Accrued Purchases,10/29/2020,PO 102720CYTO,2276827,Bill #2276827,VendBill,-558.93,
,Accrued Purchases,10/13/2020,100920AP,IR-0761,Item Receipt #IR-0761,ItemRcpt,-1133.75,
,Accrued Purchases,11/4/2020,102720CYTO,IR-0870,Item Receipt #IR-0870,ItemRcpt,-498,
,Accrued Purchases,12/3/2020,PO 113020COVID19,4819565,Bill #4819565,VendBill,-3388.44,
,Accrued Purchases,11/28/2020,112320CYTO,IR-0855,Item Receipt #IR-0855,ItemRcpt,-214,
,Accrued Purchases,12/1/2020,PO 112320CYTO,4501915,Bill #4501915,VendBill,-479.51,
,Accrued Purchases,12/2/2020,102720CYTO Received no packing slip as per inventory list,IR-0879,Item Receipt #IR-0879,ItemRcpt,-149.36,
,Accrued Purchases,12/9/2020,112320CYTO,IR-0911,Item Receipt #IR-0911,ItemRcpt,-546.96,
,Accrued Purchases,11/28/2020,112320CYTO,IR-0871,Item Receipt #IR-0871,ItemRcpt,-531.79,
,Accrued Purchases,12/23/2020,120920AP,IR-0937,Item Receipt #IR-0937,ItemRcpt,-1133.44,
,Accrued Purchases,11/28/2020,112320CYTO,IR-0854,Item Receipt #IR-0854,ItemRcpt,-264.8,
,Accrued Purchases,12/10/2020,120920AP,IR-0933,Item Receipt #IR-0933,ItemRcpt,-327.04,
,Accrued Purchases,12/12/2020,120920AP,IR-0940,Item Receipt #IR-0940,ItemRcpt,-172.55,
